Name,Deals,Year_Of_Potential_Sponsor,Top Market_1,TopMarket1%,TopMarket2,TopMarket2%,TopMarket3,TopMarket3%,TopL&P1,TopL&P1%,TopL&P2,TopL&P2%,TotalLikes,Followers Engaged%,Posts,Industry1,Industry2,Sponsor%,Digital%,TV%,Other%,Target Market,Radio%,Big Sponsor
General electric,43,2017-2018,usa,30,seattle-tacoma,5,canada,5,mlb,12,pga,7,5398,0.32,14,Conglomerate,General,28,34,20,15,International,3,no
3m,74,2018-2019,usa,36,International,14,minneapolis-St. paul,9,pga,26,nfl,13,169011,0.82,147,Consumer products,cpg,29,58,4,5,usa,2,yes
Enterprise Rent-a-car,187,2018-2019,usa,14,International,6,st. louis,5,nhl,37,mls,5,1699098,0.13,1138,auto,rental,34,34,13,11,International,6,no
Old bay seasoning,8,2018-2019,Baltimore,75,washington dc,13,tampa-St. petersburg,13,nfl,40,U.S. Thoroughbred racing,27,579,0.81,4,Food Products,Condiments,31,15,0,15,usa,8,no
Boardwalk fries burgers shakes,3,2018-2019,Baltimore,33,Tampa-St. Petersburg,33,Philadelphia,33,Spring training,50,U.S. Thoroughbred racing,33,nan,nan,nan,Quick Serve,burger,40,0,0,20,International,0,no
Budweiser,485,2018-2019,usa,5,st. louis,4,tampa-St. petersburg,3,mlb,22,milb,15,23244421,0.47,1042,Beverage,beer,29,26,3,11,International,1,yes
NBC Sports Washington,3,2018-2019,washington dc,67,baltimore,33,nan,nan,wnba,33,nwsl,33,231,0.38,3,media,tv,0,50,0,0,washington dc,0,no
CVS Pharmacy,207,2018-2019,usa,31,International,12,raleigh-durham,6,Power 5 Schools,5,mlb,2,1670020,1.49,344,retail,pharmacy,29,63,3,3,usa,2,no
Johns Hopkins university,11,2018-2019,usa,36,washington dc,27,baltimore,18,div III schools,19,marathons,10,1745,1.07,15,education,colleges,17,75,0,8,baltimore,0,no
Special olympics,32,2018-2019,usa,13,New York,9,puerto rico,6,marathons,9,CONCACAF,9,5869,0.82,27,Nonprofits,Charities,13,62,13,13,International,0,no
Toyota,1620,2019-2020,usa,19,los angeles,4,International,3,nhl,9,nba,8,28180234,0.78,12521,auto,Car Manufacturers,27,38,17,7,International,9,no
state farm,730,2019-2020,usa,24,International,8,New York,3,Power 5 Schools,13,nba,10,9619065,0.4,1791,insurance,property,30,44,9,5,usa,12,no
macy's,373,2019-2020,usa,17,New York,9,Los Angeles,6,pride events,3,fashon influencers,3,469375,0.63,502,retail,Mass Merchant,5,48,7,1,usa,38,no
scotch tape,2,2019-2020,minneapolis-st. paul,50,usa,50,nan,nan,pga,60,reality tv,40,6125,0.68,8,business services,office supplies,33,67,0,0,usa,0,no
disabled american veterans (dav),50,2019-2020,usa,20,los angeles,6,Chicago,6,tv,9,chl,8,9403,0.56,22,Nonprofits,charities,9,30,28,31,usa,2,no
cdw,63,2019-2020,usa,21,chicago,8,New York,6,nfl,19,pga,15,"351,436",0.29,110,technology,it,32,32,13,15,International,4,no
bmw,511,2019-2020,usa,16,International,10,united kingdom,5,nhl,5,nba,4,29733733,1.42,5402,auto,Car Manufacturers,20,58,10,6,International,3,no
usaa,164,2019-2020,usa,46,International,6,tampa-St. petersburg,4,nfl,20,nba,8,1337920,0.44,678,insurance,other insurance,21,49,15,10,usa,4,no
jack daniel's,421,2019-2020,usa,10,los angeles,4,atlanta,3,nhl,13,nba,12,923760,0.5,632,Beverage,Spirits,21,31,4,7,International,2,no
dr pepper,366,2019-2020,usa,14,dallas-fort worth,4,Los Angeles,4,Power 5 Schools,13,DIV I Bowls,11,1675733,0.27,1255,Beverage,soft drink,14,23,13,5,International,4,no
bass pro shops,153,2019-2020,usa,25,charlotte,4,winnipeg,4,nascar,10,fishing,9,3481104,0.57,2937,retail,athletic,19,57,4,10,International,10,no
michelob ultra,785,2019-2020,usa,8,los angeles,4,International,3,nba,24,mls,6,13537325,0.34,3721,Beverage,beer,25,27,4,11,International,2,no
